Sexo,Escolaridade,Renda_Media,Ano,Trimestre
1,13.0,6020.864077669903,2020,1
1,14.0,9962.5,2020,1
1,15.0,11740.0,2020,1
2,2.0,612.5,2020,1
2,3.0,300.3333333333333,2020,1
2,4.0,400.0,2020,1
2,5.0,565.8064516129032,2020,1
2,6.0,1042.0,2020,1
2,7.0,693.3619047619047,2020,1
2,8.0,575.8,2020,1
2,9.0,1177.7777777777778,2020,1
2,10.0,1019.1456692913384,2020,1
2,11.0,819.45,2020,1
2,12.0,2346.191397849462,2020,1
2,13.0,4332.813829787234,2020,1
2,14.0,6130.0,2020,1
2,15.0,7857.142857142857,2020,1
1,2.0,3450.0,2020,2
1,3.0,558.1666666666666,2020,2
1,4.0,1080.0,2020,2
1,5.0,1032.657894736842,2020,2
1,6.0,1341.6666666666667,2020,2
1,7.0,1016.7789001122336,2020,2
1,8.0,533.3333333333334,2020,2
1,9.0,1389.0,2020,2
1,10.0,1505.3102040816327,2020,2
1,11.0,1182.529411764706,2020,2
1,12.0,3741.570909090909,2020,2
1,13.0,6322.130952380952,2020,2
1,14.0,6138.928571428572,2020,2
1,15.0,12566.666666666666,2020,2
2,2.0,,2020,2
2,3.0,360.0,2020,2
2,4.0,375.0,2020,2
2,5.0,667.5,2020,2
2,6.0,1140.7142857142858,2020,2
2,7.0,709.6927710843373,2020,2
2,8.0,808.0,2020,2
2,9.0,1165.8333333333333,2020,2
2,10.0,1001.4839650145772,2020,2
2,11.0,1104.5625,2020,2
2,12.0,2413.189111747851,2020,2
2,13.0,4297.208860759493,2020,2
2,14.0,4624.166666666667,2020,2
2,15.0,9625.0,2020,2
1,2.0,2433.333333333333,2020,3
1,3.0,535.5384615384615,2020,3
1,4.0,1388.3333333333333,2020,3
1,5.0,982.6933333333334,2020,3
1,6.0,1140.0,2020,3
1,7.0,1079.748243559719,2020,3
1,8.0,456.5384615384616,2020,3
1,9.0,1022.5,2020,3
1,10.0,1434.2085062240665,2020,3
1,11.0,1370.7,2020,3
1,12.0,4348.503937007874,2020,3
1,13.0,7184.378787878788,2020,3
1,14.0,5235.0,2020,3
1,15.0,11248.333333333334,2020,3
2,2.0,,2020,3
2,3.0,350.0,2020,3
2,4.0,710.0,2020,3
2,5.0,776.7307692307693,2020,3
2,6.0,1118.0,2020,3
2,7.0,670.1104294478528,2020,3
2,8.0,797.5,2020,3
2,9.0,858.3333333333334,2020,3
2,10.0,979.563988095238,2020,3
2,11.0,977.5384615384615,2020,3
2,12.0,2521.834375,2020,3
2,13.0,4310.187969924812,2020,3
2,14.0,5475.0,2020,3
2,15.0,13000.0,2020,3
1,2.0,1969.0,2020,4
1,3.0,501.11538461538464,2020,4
1,4.0,1116.25,2020,4
1,5.0,969.277108433735,2020,4
1,6.0,1008.5714285714286,2020,4
1,7.0,1079.9845303867403,2020,4
1,8.0,830.7142857142857,2020,4
1,9.0,969.0,2020,4
1,10.0,1423.1264367816093,2020,4
1,11.0,1214.074074074074,2020,4
1,12.0,3976.324817518248,2020,4
1,13.0,7447.203125,2020,4
1,14.0,7664.5,2020,4
1,15.0,10749.0,2020,4
2,2.0,,2020,4
2,3.0,589.0,2020,4
2,4.0,796.6666666666666,2020,4
2,5.0,603.974358974359,2020,4
2,6.0,973.5,2020,4
2,7.0,685.0568181818181,2020,4
2,8.0,620.4285714285714,2020,4
2,9.0,907.5,2020,4
2,10.0,993.3869680851064,2020,4
2,11.0,842.1111111111111,2020,4
2,12.0,2499.0626865671643,2020,4
2,13.0,4499.045112781955,2020,4
2,14.0,6980.0,2020,4
2,15.0,13000.0,2020,4
1,2.0,983.3333333333334,2021,1
1,3.0,446.68,2021,1
1,4.0,1225.0,2021,1
1,5.0,987.6951219512196,2021,1
1,6.0,1322.5,2021,1
1,7.0,1043.2982658959538,2021,1
1,8.0,963.4375,2021,1
1,9.0,700.0,2021,1
1,10.0,1444.0753968253969,2021,1
1,11.0,1251.857142857143,2021,1
1,12.0,4033.576335877863,2021,1
1,13.0,8976.047619047618,2021,1
1,14.0,7775.416666666667,2021,1
1,15.0,8436.25,2021,1
2,2.0,,2021,1
2,3.0,457.5,2021,1
2,4.0,615.0,2021,1
2,5.0,641.3076923076923,2021,1
2,6.0,810.5555555555555,2021,1
2,7.0,710.5235109717868,2021,1
2,8.0,656.6666666666666,2021,1
2,9.0,1128.571428571429,2021,1
2,10.0,992.7162726008344,2021,1
2,11.0,924.0,2021,1
2,12.0,2536.901785714286,2021,1
2,13.0,5082.6640625,2021,1
2,14.0,6269.2307692307695,2021,1
2,15.0,10000.0,2021,1
1,2.0,743.3333333333334,2021,2
1,3.0,609.75,2021,2
1,4.0,760.0,2021,2
1,5.0,1221.4938271604938,2021,2
1,6.0,1347.7272727272727,2021,2
1,7.0,1020.9581395348836,2021,2
1,8.0,1449.4444444444443,2021,2
1,9.0,1580.0,2021,2
1,10.0,1424.670520231214,2021,2
1,11.0,1281.1363636363635,2021,2
1,12.0,4099.281368821293,2021,2
1,13.0,7597.826086956522,2021,2
1,14.0,8600.0,2021,2
1,15.0,9500.0,2021,2
2,2.0,615.0,2021,2
2,3.0,471.6666666666667,2021,2
2,4.0,533.3333333333334,2021,2
2,5.0,586.2105263157895,2021,2
2,6.0,690.0,2021,2
2,7.0,749.4416403785489,2021,2
2,8.0,137.5,2021,2
2,9.0,1450.0,2021,2
2,10.0,1075.3014804845222,2021,2
2,11.0,826.2857142857143,2021,2
2,12.0,2538.2115942028986,2021,2
2,13.0,5344.195121951219,2021,2
2,14.0,6278.571428571428,2021,2
2,15.0,9250.0,2021,2
1,2.0,892.2,2021,3
1,3.0,784.5294117647059,2021,3
1,4.0,933.3333333333334,2021,3
1,5.0,1174.491071428571,2021,3
1,6.0,962.5,2021,3
1,7.0,1001.4261884904088,2021,3
1,8.0,1136.111111111111,2021,3
1,9.0,1366.6666666666667,2021,3
1,10.0,1468.362012987013,2021,3
1,11.0,1169.576923076923,2021,3
1,12.0,3824.147692307693,2021,3
1,13.0,7006.5,2021,3
1,14.0,7830.0,2021,3
1,15.0,8833.333333333334,2021,3
2,2.0,123.33333333333331,2021,3
2,3.0,578.5,2021,3
2,4.0,640.0,2021,3
2,5.0,517.0540540540541,2021,3
2,6.0,722.2222222222222,2021,3
2,7.0,733.6940639269407,2021,3
2,8.0,181.25,2021,3
2,9.0,1423.3333333333333,2021,3
2,10.0,1038.1804180418042,2021,3
2,11.0,751.7142857142857,2021,3
2,12.0,2325.784461152882,2021,3
2,13.0,5136.086614173229,2021,3
2,14.0,4653.333333333333,2021,3
2,15.0,8000.0,2021,3
1,2.0,604.0,2021,4
1,3.0,1434.5116279069769,2021,4
1,4.0,720.0,2021,4
1,5.0,1083.27868852459,2021,4
1,6.0,1485.7142857142858,2021,4
1,7.0,993.5334890965732,2021,4
1,8.0,836.0,2021,4
1,9.0,1800.0,2021,4
1,10.0,1504.396254681648,2021,4
1,11.0,1401.6923076923076,2021,4
1,12.0,3670.635179153095,2021,4
1,13.0,7834.706666666667,2021,4
1,14.0,9483.333333333334,2021,4
1,15.0,7471.428571428572,2021,4
2,2.0,250.0,2021,4
2,3.0,518.75,2021,4
2,4.0,390.0,2021,4
2,5.0,678.9272727272727,2021,4
2,6.0,1087.5,2021,4
2,7.0,747.874739039666,2021,4
2,8.0,547.2222222222222,2021,4
2,9.0,1466.6666666666667,2021,4
2,10.0,1030.262939958592,2021,4
2,11.0,676.875,2021,4
2,12.0,2274.6178660049627,2021,4
2,13.0,5147.727272727273,2021,4
2,14.0,4615.384615384615,2021,4
2,15.0,6750.0,2021,4
1,1.0,,2022,1
1,2.0,968.2222222222222,2022,1
1,3.0,647.8367346938776,2022,1
1,4.0,1106.888888888889,2022,1
1,5.0,1314.7142857142858,2022,1
1,6.0,1774.0,2022,1
1,7.0,1124.32504145937,2022,1
1,8.0,794.2727272727273,2022,1
1,9.0,2764.8,2022,1
1,10.0,1496.949524506218,2022,1
1,11.0,895.6086956521739,2022,1
1,12.0,3374.204747774481,2022,1
1,13.0,7528.962962962963,2022,1
1,14.0,7988.941176470588,2022,1
1,15.0,7511.111111111111,2022,1
2,1.0,,2022,1
2,2.0,,2022,1
2,3.0,462.5,2022,1
2,4.0,477.5,2022,1
2,5.0,626.4,2022,1
2,6.0,1105.5555555555557,2022,1
2,7.0,770.4906832298136,2022,1
2,8.0,562.1428571428571,2022,1
2,9.0,578.0,2022,1
2,10.0,1105.468958930277,2022,1
2,11.0,642.35,2022,1
2,12.0,2407.617312072893,2022,1
2,13.0,3689.243697478992,2022,1
2,14.0,4086.6666666666665,2022,1
2,15.0,5600.0,2022,1
1,2.0,1385.1666666666667,2022,2
1,3.0,990.8571428571428,2022,2
1,4.0,1093.6875,2022,2
1,5.0,1397.951388888889,2022,2
1,6.0,1370.0,2022,2
1,7.0,1085.1104050833994,2022,2
1,8.0,713.1578947368421,2022,2
1,9.0,2186.6666666666665,2022,2
1,10.0,1638.7679830747531,2022,2
1,11.0,1152.4827586206898,2022,2
1,12.0,3615.663716814159,2022,2
1,13.0,6143.960526315789,2022,2
1,14.0,7276.923076923077,2022,2
1,15.0,8444.444444444445,2022,2
2,2.0,806.0,2022,2
2,3.0,547.4,2022,2
2,4.0,595.0,2022,2
2,5.0,882.0,2022,2
2,6.0,1232.7142857142858,2022,2
2,7.0,802.0333333333333,2022,2
2,8.0,761.0714285714286,2022,2
2,9.0,2250.0,2022,2
2,10.0,1096.5187835420393,2022,2
2,11.0,521.3,2022,2
2,12.0,2182.198113207547,2022,2
2,13.0,3996.7642857142855,2022,2
2,14.0,6326.32,2022,2
2,15.0,4118.666666666667,2022,2
1,1.0,,2022,3
1,2.0,1011.7777777777778,2022,3
1,3.0,900.8055555555557,2022,3
1,4.0,919.2666666666668,2022,3
1,5.0,1142.1041666666667,2022,3
1,6.0,1558.2105263157894,2022,3
1,7.0,1136.6748878923768,2022,3
1,8.0,1077.6,2022,3
1,9.0,1723.3846153846157,2022,3
1,10.0,1652.139240506329,2022,3
1,11.0,1027.2162162162165,2022,3
1,12.0,3643.683923705722,2022,3
1,13.0,6611.962025316456,2022,3
1,14.0,6357.166666666667,2022,3
1,15.0,9166.666666666666,2022,3
2,1.0,,2022,3
2,2.0,1212.0,2022,3
2,3.0,348.8888888888889,2022,3
2,4.0,980.2857142857144,2022,3
2,5.0,885.3454545454546,2022,3
2,6.0,1326.2222222222222,2022,3
2,7.0,804.672619047619,2022,3
2,8.0,1002.0,2022,3
2,9.0,326.6666666666667,2022,3
2,10.0,1136.3820921985816,2022,3
2,11.0,667.1818181818181,2022,3
2,12.0,2466.2636363636366,2022,3
2,13.0,4060.114093959732,2022,3
2,14.0,4114.434782608696,2022,3
2,15.0,7842.857142857143,2022,3
1,1.0,,2022,4
1,2.0,1007.7142857142856,2022,4
1,3.0,755.8823529411765,2022,4
1,4.0,720.6875,2022,4
1,5.0,1207.3265306122448,2022,4
1,6.0,1674.2222222222222,2022,4
1,7.0,1257.725352112676,2022,4
1,8.0,1019.8947368421052,2022,4
1,9.0,1796.4,2022,4
1,10.0,1740.4450625869265,2022,4
1,11.0,1014.6206896551724,2022,4
1,12.0,4166.153846153846,2022,4
1,13.0,7850.155555555555,2022,4
1,14.0,8174.875,2022,4
1,15.0,11080.0,2022,4
2,1.0,,2022,4
2,2.0,1212.0,2022,4
2,3.0,295.7142857142857,2022,4
2,4.0,900.0,2022,4
2,5.0,730.9,2022,4
2,6.0,1016.1538461538462,2022,4
2,7.0,865.3285123966942,2022,4
2,8.0,934.6666666666666,2022,4
2,9.0,2480.0,2022,4
2,10.0,1220.4159049360146,2022,4
2,11.0,758.2727272727273,2022,4
2,12.0,2614.7250554323723,2022,4
2,13.0,4793.425,2022,4
2,14.0,4335.176470588235,2022,4
2,15.0,8888.888888888889,2022,4
1,1.0,1302.0,2023,1
1,2.0,962.4285714285714,2023,1
1,3.0,810.88,2023,1
1,4.0,858.0,2023,1
1,5.0,1346.6589147286822,2023,1
1,6.0,1269.5384615384614,2023,1
1,7.0,1224.8994544037412,2023,1
1,8.0,1046.909090909091,2023,1
1,9.0,1666.7272727272727,2023,1
1,10.0,2002.5925394548065,2023,1
1,11.0,1076.8,2023,1
1,12.0,4384.88202247191,2023,1
1,13.0,7168.541176470589,2023,1
1,14.0,6956.25,2023,1
1,15.0,10420.0,2023,1
2,1.0,,2023,1
2,2.0,801.0,2023,1
2,3.0,552.4,2023,1
2,4.0,1400.4,2023,1
2,5.0,1000.6521739130436,2023,1
2,6.0,938.0,2023,1
2,7.0,922.086519114688,2023,1
2,8.0,749.2222222222222,2023,1
2,9.0,1370.2,2023,1
2,10.0,1257.9413434247872,2023,1
2,11.0,933.0588235294116,2023,1
2,12.0,2752.8689655172416,2023,1
2,13.0,4522.201257861635,2023,1
2,14.0,3672.0,2023,1
2,15.0,8644.444444444445,2023,1
1,2.0,710.0,2023,2
1,3.0,1013.7333333333332,2023,2
1,4.0,771.7142857142857,2023,2
1,5.0,1155.9426229508197,2023,2
1,6.0,1510.3333333333333,2023,2
1,7.0,1322.1005025125628,2023,2
1,8.0,1231.9130434782608,2023,2
1,9.0,1890.4,2023,2
1,10.0,1930.539956803456,2023,2
1,11.0,1293.8108108108108,2023,2
1,12.0,4706.331550802139,2023,2
1,13.0,6895.685393258427,2023,2
1,14.0,6401.333333333333,2023,2
1,15.0,9331.818181818182,2023,2
2,2.0,175.0,2023,2
2,3.0,633.75,2023,2
2,4.0,1530.5,2023,2
2,5.0,816.8947368421053,2023,2
2,6.0,1040.0,2023,2
2,7.0,859.1854166666667,2023,2
2,8.0,871.8,2023,2
2,9.0,1535.0,2023,2
2,10.0,1275.437148217636,2023,2
2,11.0,914.0,2023,2
2,12.0,2779.377574370709,2023,2
2,13.0,4320.368131868132,2023,2
2,14.0,4766.769230769231,2023,2
2,15.0,10543.181818181818,2023,2
1,2.0,537.5,2023,3
1,3.0,1418.1818181818182,2023,3
1,4.0,728.9285714285714,2023,3
1,5.0,1195.2424242424242,2023,3
1,6.0,1193.3333333333333,2023,3
1,7.0,1299.1180223285487,2023,3
1,8.0,1252.7586206896551,2023,3
1,9.0,1464.4444444444443,2023,3
1,10.0,1784.668044077135,2023,3
1,11.0,1490.0,2023,3
1,12.0,4499.970588235294,2023,3
1,13.0,8399.157894736842,2023,3
1,14.0,9876.0,2023,3
1,15.0,10590.0,2023,3
2,1.0,,2023,3
2,2.0,725.0,2023,3
2,3.0,437.77777777777777,2023,3
2,4.0,886.6666666666666,2023,3
2,5.0,680.3617021276596,2023,3
2,6.0,904.0,2023,3
2,7.0,906.2437923250563,2023,3
2,8.0,1030.0,2023,3
2,9.0,1679.0,2023,3
2,10.0,1279.0558183538317,2023,3
2,11.0,1037.8148148148148,2023,3
2,12.0,2821.330612244898,2023,3
2,13.0,4707.097297297298,2023,3
2,14.0,4670.0,2023,3
2,15.0,8355.555555555555,2023,3
1,2.0,842.5,2023,4
1,3.0,848.6206896551724,2023,4
1,4.0,867.2727272727273,2023,4
1,5.0,1254.6838235294117,2023,4
1,6.0,934.2857142857144,2023,4
1,7.0,1305.4127358490566,2023,4
1,8.0,1328.4615384615386,2023,4
1,9.0,1864.0,2023,4
1,10.0,1830.9507754551585,2023,4
1,11.0,1507.547619047619,2023,4
1,12.0,4219.836272040302,2023,4
1,13.0,9504.114942528737,2023,4
1,14.0,7686.315789473684,2023,4
1,15.0,3324.0,2023,4
2,2.0,1044.0,2023,4
2,3.0,495.0,2023,4
2,4.0,633.75,2023,4
2,5.0,530.9756097560976,2023,4
2,6.0,825.0,2023,4
2,7.0,930.3362255965292,2023,4
2,8.0,864.7058823529412,2023,4
2,9.0,2156.153846153846,2023,4
2,10.0,1281.295142071494,2023,4
2,11.0,862.1428571428571,2023,4
2,12.0,2776.768774703557,2023,4
2,13.0,5058.711656441717,2023,4
2,14.0,7723.071428571428,2023,4
2,15.0,8871.42857142857,2023,4
1,2.0,943.0,2024,1
1,3.0,670.3333333333334,2024,1
1,5.0,1255.7443609022555,2024,1
1,6.0,1330.0,2024,1
1,7.0,1247.86106870229,2024,1
1,8.0,1306.25,2024,1
