Escolaridade,Percentual_Carteira,Ano,Trimestre
15.0,16.666666666666664,2021,4
1.0,0.0,2022,1
2.0,6.0,2022,1
3.0,1.5444015444015444,2022,1
4.0,0.0,2022,1
5.0,1.7179023508137432,2022,1
6.0,2.73972602739726,2022,1
7.0,8.61478218306412,2022,1
8.0,11.267605633802818,2022,1
9.0,3.4782608695652173,2022,1
10.0,19.51486013986014,2022,1
11.0,12.871287128712872,2022,1
12.0,24.97875955819881,2022,1
13.0,20.689655172413797,2022,1
14.0,22.22222222222222,2022,1
15.0,29.411764705882355,2022,1
2.0,0.0,2022,2
3.0,2.8000000000000003,2022,2
4.0,2.272727272727273,2022,2
5.0,1.9166666666666663,2022,2
6.0,3.389830508474576,2022,2
7.0,8.414634146341465,2022,2
8.0,7.5,2022,2
9.0,3.875968992248062,2022,2
10.0,19.46178686759957,2022,2
11.0,12.844036697247708,2022,2
12.0,23.46938775510204,2022,2
13.0,17.647058823529413,2022,2
14.0,13.636363636363637,2022,2
15.0,11.76470588235294,2022,2
1.0,0.0,2022,3
2.0,3.92156862745098,2022,3
3.0,2.092050209205021,2022,3
4.0,2.409638554216868,2022,3
5.0,2.4288107202680065,2022,3
6.0,4.790419161676647,2022,3
7.0,9.29359305327388,2022,3
8.0,7.142857142857142,2022,3
9.0,2.380952380952381,2022,3
10.0,20.96705177578092,2022,3
11.0,11.304347826086955,2022,3
12.0,22.22222222222222,2022,3
13.0,21.35593220338983,2022,3
14.0,29.72972972972973,2022,3
15.0,27.77777777777778,2022,3
1.0,0.0,2022,4
2.0,6.382978723404255,2022,4
3.0,2.0,2022,4
4.0,2.3529411764705883,2022,4
5.0,1.972555746140652,2022,4
6.0,4.10958904109589,2022,4
7.0,10.02651241262955,2022,4
8.0,6.741573033707865,2022,4
9.0,2.272727272727273,2022,4
10.0,22.066133563864277,2022,4
11.0,11.76470588235294,2022,4
12.0,21.689683184402924,2022,4
13.0,22.25609756097561,2022,4
14.0,23.684210526315788,2022,4
15.0,23.809523809523807,2022,4
1.0,0.0,2023,1
2.0,5.454545454545454,2023,1
3.0,1.4851485148514851,2023,1
4.0,6.493506493506493,2023,1
5.0,1.833180568285976,2023,1
6.0,5.147058823529411,2023,1
7.0,10.283265889074029,2023,1
8.0,6.862745098039216,2023,1
9.0,3.5398230088495577,2023,1
10.0,20.58573853989813,2023,1
11.0,13.829787234042554,2023,1
12.0,21.55243600330305,2023,1
13.0,19.74921630094044,2023,1
14.0,15.0,2023,1
15.0,23.809523809523807,2023,1
2.0,2.5,2023,2
3.0,1.7142857142857144,2023,2
4.0,5.063291139240507,2023,2
5.0,1.9120458891013383,2023,2
6.0,4.6875,2023,2
7.0,9.474428470421872,2023,2
8.0,8.035714285714286,2023,2
9.0,0.0,2023,2
10.0,20.701309674693704,2023,2
11.0,13.274336283185844,2023,2
12.0,22.8876127973749,2023,2
13.0,24.418604651162788,2023,2
14.0,18.181818181818183,2023,2
15.0,30.76923076923077,2023,2
1.0,0.0,2023,3
2.0,2.857142857142857,2023,3
3.0,0.9803921568627452,2023,3
4.0,1.351351351351351,2023,3
5.0,2.0080321285140563,2023,3
6.0,3.125,2023,3
7.0,9.27786866090208,2023,3
8.0,9.090909090909092,2023,3
9.0,1.9230769230769231,2023,3
10.0,20.937042459736457,2023,3
11.0,15.517241379310343,2023,3
12.0,23.18840579710145,2023,3
13.0,24.444444444444443,2023,3
14.0,17.5,2023,3
15.0,27.27272727272727,2023,3
2.0,2.7777777777777777,2023,4
3.0,0.8771929824561403,2023,4
4.0,4.0,2023,4
5.0,2.2198731501057085,2023,4
6.0,1.1111111111111112,2023,4
7.0,9.295639674173454,2023,4
8.0,7.627118644067797,2023,4
9.0,1.6528925619834711,2023,4
10.0,20.997485331098076,2023,4
11.0,15.217391304347828,2023,4
12.0,26.716981132075475,2023,4
13.0,23.24159021406728,2023,4
14.0,14.285714285714285,2023,4
15.0,13.333333333333334,2023,4
1.0,0.0,2024,1
2.0,6.8181818181818175,2024,1
