Escolaridade,Renda_Total,Ano,Trimestre
8.0,52493.0,2024,1
9.0,38642.0,2024,1
10.0,4326037.0,2024,1
11.0,103363.0,2024,1
12.0,3161576.0,2024,1
13.0,1711527.0,2024,1
14.0,274944.0,2024,1
15.0,109748.0,2024,1
2.0,6324.0,2024,2
3.0,28998.0,2024,2
5.0,170988.0,2024,2
6.0,27246.0,2024,2
7.0,2145126.0,2024,2
8.0,32542.0,2024,2
9.0,40662.0,2024,2
10.0,4588522.0,2024,2
11.0,101800.0,2024,2
12.0,3760737.0,2024,2
13.0,2017903.0,2024,2
14.0,351320.0,2024,2
15.0,216922.0,2024,2
1.0,0.0,2024,3
2.0,5952.0,2024,3
3.0,29924.0,2024,3
5.0,193971.0,2024,3
6.0,21500.0,2024,3
7.0,2188837.0,2024,3
8.0,31450.0,2024,3
9.0,46924.0,2024,3
10.0,4590232.0,2024,3
11.0,116180.0,2024,3
12.0,3580538.0,2024,3
13.0,2093075.0,2024,3
14.0,432041.0,2024,3
15.0,179482.0,2024,3
1.0,0.0,2024,4
2.0,5832.0,2024,4
3.0,39373.0,2024,4
5.0,112094.0,2024,4
6.0,17914.0,2024,4
7.0,2259157.0,2024,4
8.0,37846.0,2024,4
9.0,95310.0,2024,4
10.0,4749255.0,2024,4
11.0,71266.0,2024,4
12.0,4556150.0,2024,4
13.0,2332982.0,2024,4
14.0,399936.0,2024,4
15.0,233612.0,2024,4
2.0,8350.0,2025,1
3.0,35820.0,2025,1
5.0,137250.0,2025,1
6.0,17148.0,2025,1
7.0,2188589.0,2025,1
8.0,49300.0,2025,1
9.0,52823.0,2025,1
10.0,4700778.0,2025,1
11.0,97702.0,2025,1
12.0,4332623.0,2025,1
13.0,2342824.0,2025,1
14.0,534113.0,2025,1
15.0,256400.0,2025,1
2.0,11788.0,2025,2
3.0,43524.0,2025,2
5.0,146785.0,2025,2
6.0,42508.0,2025,2
7.0,2118065.0,2025,2
8.0,48012.0,2025,2
9.0,25018.0,2025,2
10.0,4653499.0,2025,2
11.0,107374.0,2025,2
12.0,4806297.0,2025,2
13.0,2458644.0,2025,2
14.0,378804.0,2025,2
15.0,304300.0,2025,2
2.0,1500.0,2025,3
3.0,35224.0,2025,3
5.0,145744.0,2025,3
6.0,22386.0,2025,3
7.0,2071479.0,2025,3
8.0,69590.0,2025,3
9.0,26072.0,2025,3
10.0,4911969.0,2025,3
11.0,162145.0,2025,3
12.0,4347423.0,2025,3
13.0,2770923.0,2025,3
14.0,447731.0,2025,3
15.0,392378.0,2025,3
2.0,1600.0,2025,4
3.0,59928.0,2025,4
5.0,152774.0,2025,4
6.0,12818.0,2025,4
7.0,2109399.0,2025,4
8.0,40172.0,2025,4
9.0,40560.0,2025,4
10.0,4954682.0,2025,4
11.0,186412.0,2025,4
12.0,5067970.0,2025,4
13.0,3364066.0,2025,4
14.0,518395.0,2025,4
15.0,329815.0,2025,4
