Escolaridade,Percentual_Ocupados,Ano,Trimestre
8.0,29.411764705882355,2021,3
9.0,9.401709401709402,2021,3
10.0,48.05288461538461,2021,3
11.0,47.72727272727273,2021,3
12.0,62.06589492430988,2021,3
13.0,79.25311203319502,2021,3
14.0,69.04761904761905,2021,3
15.0,81.81818181818183,2021,3
2.0,15.217391304347828,2021,4
3.0,18.67219917012448,2021,4
4.0,11.666666666666666,2021,4
5.0,14.62715105162524,2021,4
6.0,12.582781456953644,2021,4
7.0,38.59564164648911,2021,4
8.0,29.577464788732392,2021,4
9.0,10.476190476190476,2021,4
10.0,49.11040145985402,2021,4
11.0,41.05263157894737,2021,4
12.0,63.63636363636363,2021,4
13.0,78.99159663865547,2021,4
14.0,63.888888888888886,2021,4
15.0,75.0,2021,4
1.0,0.0,2022,1
2.0,18.0,2022,1
3.0,19.69111969111969,2022,1
4.0,14.634146341463412,2022,1
5.0,14.737793851717903,2022,1
6.0,13.013698630136986,2022,1
7.0,36.31913852178169,2022,1
8.0,32.3943661971831,2022,1
9.0,10.434782608695652,2022,1
10.0,47.96765734265735,2022,1
11.0,34.65346534653465,2022,1
12.0,62.7017841971113,2022,1
13.0,70.88122605363985,2022,1
14.0,73.33333333333333,2022,1
15.0,70.58823529411765,2022,1
2.0,15.68627450980392,2022,2
3.0,18.8,2022,2
4.0,18.181818181818183,2022,2
5.0,14.75,2022,2
6.0,18.07909604519774,2022,2
7.0,37.63414634146341,2022,2
8.0,30.0,2022,2
9.0,12.4031007751938,2022,2
10.0,50.613562970936485,2022,2
11.0,49.54128440366973,2022,2
12.0,62.84013605442177,2022,2
13.0,73.35640138408304,2022,2
14.0,81.81818181818183,2022,2
15.0,82.35294117647058,2022,2
1.0,0.0,2022,3
2.0,15.68627450980392,2022,3
3.0,16.736401673640167,2022,3
4.0,22.89156626506024,2022,3
5.0,15.07537688442211,2022,3
6.0,14.97005988023952,2022,3
7.0,37.85496362356254,2022,3
8.0,32.142857142857146,2022,3
9.0,11.11111111111111,2022,3
10.0,49.89302524604193,2022,3
11.0,38.26086956521739,2022,3
12.0,63.31699346405229,2022,3
13.0,75.2542372881356,2022,3
14.0,91.8918918918919,2022,3
15.0,83.33333333333334,2022,3
1.0,0.0,2022,4
2.0,17.02127659574468,2022,4
3.0,17.0,2022,4
4.0,22.35294117647059,2022,4
5.0,15.69468267581475,2022,4
6.0,15.753424657534246,2022,4
7.0,38.12966979995179,2022,4
8.0,31.46067415730337,2022,4
9.0,14.393939393939394,2022,4
10.0,50.875297168791874,2022,4
11.0,43.13725490196079,2022,4
12.0,64.33793663688058,2022,4
13.0,74.08536585365853,2022,4
14.0,81.57894736842105,2022,4
15.0,85.71428571428571,2022,4
1.0,33.33333333333333,2023,1
2.0,20.0,2023,1
3.0,12.871287128712872,2023,1
4.0,24.675324675324678,2023,1
5.0,14.023831347387716,2023,1
6.0,12.5,2023,1
7.0,36.96738871697215,2023,1
8.0,31.37254901960784,2023,1
9.0,13.274336283185844,2023,1
10.0,47.77164685908319,2023,1
11.0,41.48936170212766,2023,1
12.0,62.75805119735756,2023,1
13.0,71.78683385579937,2023,1
14.0,67.5,2023,1
15.0,85.71428571428571,2023,1
2.0,17.5,2023,2
3.0,18.857142857142858,2023,2
4.0,20.253164556962027,2023,2
5.0,13.479923518164435,2023,2
6.0,10.9375,2023,2
7.0,35.16379919868018,2023,2
8.0,30.35714285714285,2023,2
9.0,11.538461538461538,2023,2
10.0,48.24672581326574,2023,2
11.0,42.47787610619469,2023,2
12.0,64.2329778506973,2023,2
13.0,76.74418604651163,2023,2
14.0,84.84848484848484,2023,2
15.0,84.61538461538461,2023,2
1.0,0.0,2023,3
2.0,22.857142857142858,2023,3
3.0,11.27450980392157,2023,3
4.0,22.972972972972972,2023,3
5.0,14.959839357429718,2023,3
6.0,11.458333333333332,2023,3
7.0,34.47067071745735,2023,3
8.0,33.63636363636363,2023,3
9.0,15.384615384615383,2023,3
10.0,48.23258732482744,2023,3
11.0,44.82758620689656,2023,3
12.0,63.38672768878718,2023,3
13.0,75.0,2023,3
14.0,80.0,2023,3
15.0,81.81818181818183,2023,3
2.0,30.55555555555556,2023,4
3.0,15.789473684210526,2023,4
4.0,17.333333333333336,2023,4
5.0,15.961945031712474,2023,4
6.0,10.0,2023,4
7.0,36.080498322951605,2023,4
8.0,33.05084745762712,2023,4
9.0,16.528925619834713,2023,4
10.0,48.86839899413244,2023,4
11.0,44.20289855072464,2023,4
12.0,66.0377358490566,2023,4
13.0,73.08868501529052,2023,4
14.0,76.19047619047619,2023,4
15.0,73.33333333333333,2023,4
1.0,0.0,2024,1
2.0,25.0,2024,1
3.0,15.283842794759824,2024,1
5.0,15.74074074074074,2024,1
6.0,8.737864077669903,2024,1
7.0,36.2206572769953,2024,1
8.0,30.15873015873016,2024,1
9.0,13.223140495867767,2024,1
10.0,48.88029315960912,2024,1
11.0,36.36363636363637,2024,1
12.0,63.934426229508205,2024,1
13.0,70.65217391304348,2024,1
14.0,75.51020408163265,2024,1
15.0,77.77777777777779,2024,1
2.0,21.875,2024,2
3.0,17.796610169491526,2024,2
5.0,15.822784810126585,2024,2
6.0,14.563106796116504,2024,2
7.0,37.93658088235294,2024,2
8.0,28.82882882882883,2024,2
9.0,13.953488372093023,2024,2
10.0,51.85717217319926,2024,2
11.0,35.638297872340424,2024,2
12.0,64.61429582448692,2024,2
13.0,75.1269035532995,2024,2
14.0,75.92592592592592,2024,2
15.0,76.92307692307693,2024,2
1.0,0.0,2024,3
2.0,26.666666666666668,2024,3
3.0,12.099644128113878,2024,3
5.0,16.666666666666664,2024,3
6.0,10.679611650485436,2024,3
7.0,39.09341923607915,2024,3
8.0,22.58064516129032,2024,3
9.0,13.138686131386862,2024,3
10.0,52.29570345408593,2024,3
11.0,41.08108108108108,2024,3
12.0,64.70165348670022,2024,3
13.0,76.57430730478589,2024,3
14.0,72.41379310344827,2024,3
15.0,57.14285714285714,2024,3
1.0,0.0,2024,4
2.0,12.12121212121212,2024,4
3.0,12.264150943396226,2024,4
5.0,11.50326797385621,2024,4
6.0,17.142857142857142,2024,4
7.0,38.11748998664887,2024,4
8.0,27.08333333333333,2024,4
9.0,12.34567901234568,2024,4
10.0,53.6509257333056,2024,4
11.0,36.80555555555556,2024,4
12.0,67.99714896650035,2024,4
13.0,80.24691358024691,2024,4
14.0,76.11940298507463,2024,4
15.0,72.41379310344827,2024,4
2.0,15.625,2025,1
3.0,8.441558441558442,2025,1
5.0,12.058465286236297,2025,1
6.0,14.285714285714285,2025,1
7.0,35.598330241187384,2025,1
8.0,28.57142857142857,2025,1
9.0,16.23931623931624,2025,1
10.0,48.80928149806636,2025,1
11.0,40.97222222222222,2025,1
12.0,65.79139314369074,2025,1
