Idade,Renda_Media,Ano,Trimestre
9,,2020,1
10,,2020,1
11,,2020,1
12,,2020,1
13,,2020,1
14,,2020,1
15,342.6,2020,1
16,363.3333333333333,2020,1
17,400.3666666666667,2020,1
18,637.4677419354839,2020,1
19,782.1333333333333,2020,1
20,795.8735632183908,2020,1
21,863.0336134453781,2020,1
22,853.5785123966942,2020,1
23,988.1549295774648,2020,1
24,1000.7744360902255,2020,1
25,1226.4274193548388,2020,1
26,1103.63687150838,2020,1
27,1144.1192052980132,2020,1
28,1295.9054054054054,2020,1
29,1362.5244755244755,2020,1
30,1137.3503184713377,2020,1
31,1357.2634730538923,2020,1
32,1320.7423312883436,2020,1
33,1551.4423076923076,2020,1
34,1589.7597765363128,2020,1
35,1437.2272727272727,2020,1
36,1785.132275132275,2020,1
37,1618.5323383084576,2020,1
38,2039.6333333333332,2020,1
39,1805.4491978609624,2020,1
40,1370.967213114754,2020,1
41,1631.1645569620252,2020,1
42,1606.4251497005987,2020,1
43,1589.1966292134832,2020,1
44,1989.775,2020,1
45,1795.9940828402366,2020,1
46,1682.054794520548,2020,1
47,1568.751592356688,2020,1
48,2160.810218978102,2020,1
49,1385.7413793103449,2020,1
50,2407.072463768116,2020,1
51,1693.5185185185185,2020,1
52,1587.7076923076922,2020,1
53,1457.1190476190477,2020,1
54,1810.59,2020,1
55,1929.051851851852,2020,1
56,2134.7978723404253,2020,1
57,1831.36231884058,2020,1
58,2111.333333333333,2020,1
59,1824.8072289156623,2020,1
60,2133.1803278688526,2020,1
61,1904.5,2020,1
62,1510.2333333333331,2020,1
63,2166.090909090909,2020,1
64,2501.609756097561,2020,1
65,2455.0243902439024,2020,1
66,3091.090909090909,2020,1
67,1883.9583333333333,2020,1
68,2774.137931034483,2020,1
69,3846.3333333333335,2020,1
70,2111.346153846154,2020,1
71,5803.125,2020,1
72,1250.6666666666667,2020,1
73,2007.2727272727277,2020,1
74,615.75,2020,1
75,1229.6,2020,1
76,,2020,1
77,1500.0,2020,1
78,200.0,2020,1
79,2399.1666666666665,2020,1
80,4666.666666666667,2020,1
81,,2020,1
82,100.0,2020,1
83,150.0,2020,1
84,,2020,1
85,,2020,1
86,,2020,1
87,,2020,1
88,,2020,1
89,,2020,1
90,,2020,1
91,,2020,1
92,,2020,1
93,,2020,1
94,,2020,1
95,,2020,1
96,,2020,1
97,,2020,1
98,,2020,1
99,,2020,1
100,,2020,1
101,,2020,1
102,,2020,1
104,,2020,1
0,,2020,2
1,,2020,2
2,,2020,2
3,,2020,2
4,,2020,2
5,,2020,2
6,,2020,2
7,,2020,2
8,,2020,2
9,,2020,2
10,,2020,2
11,,2020,2
12,,2020,2
13,,2020,2
14,,2020,2
15,400.0,2020,2
16,604.4444444444445,2020,2
17,428.3333333333333,2020,2
18,655.9310344827586,2020,2
19,744.0508474576271,2020,2
20,832.36,2020,2
21,890.2588235294118,2020,2
22,830.2207792207793,2020,2
23,959.7244897959184,2020,2
24,1155.878048780488,2020,2
25,1450.2631578947369,2020,2
26,1316.4913793103449,2020,2
27,1077.977777777778,2020,2
28,1406.4563106796118,2020,2
29,1248.6315789473683,2020,2
30,1385.290909090909,2020,2
31,1352.16,2020,2
32,1406.4132231404958,2020,2
33,1730.9083969465648,2020,2
34,1570.993103448276,2020,2
35,1676.126984126984,2020,2
36,1729.9837398373984,2020,2
37,1662.264705882353,2020,2
38,1993.1782945736436,2020,2
39,1842.7583333333332,2020,2
40,1675.677966101695,2020,2
41,1608.504,2020,2
42,1757.094827586207,2020,2
43,1498.743801652893,2020,2
44,2025.0686274509803,2020,2
45,1575.275,2020,2
46,1693.0970873786407,2020,2
47,1746.1101694915253,2020,2
48,1981.1979166666667,2020,2
49,1847.8222222222223,2020,2
50,2521.0,2020,2
51,1870.295918367347,2020,2
52,1888.7349397590365,2020,2
53,2033.4074074074076,2020,2
54,2001.8552631578948,2020,2
55,1695.3176470588237,2020,2
56,2289.065789473684,2020,2
57,1831.9803921568628,2020,2
58,2310.895833333333,2020,2
59,2671.677966101695,2020,2
60,2573.6,2020,2
61,2452.46875,2020,2
62,1488.3846153846157,2020,2
63,1764.5,2020,2
64,2373.103448275862,2020,2
65,2313.730769230769,2020,2
66,4402.272727272727,2020,2
67,2663.076923076923,2020,2
68,2311.764705882353,2020,2
69,3786.3333333333335,2020,2
70,1794.4736842105262,2020,2
71,2325.0,2020,2
72,1435.0,2020,2
73,4825.0,2020,2
74,1093.125,2020,2
75,1683.3333333333333,2020,2
76,,2020,2
77,3000.0,2020,2
78,,2020,2
79,5100.0,2020,2
80,1000.0,2020,2
81,10000.0,2020,2
82,100.0,2020,2
83,300.0,2020,2
84,,2020,2
85,,2020,2
86,,2020,2
87,,2020,2
88,,2020,2
89,,2020,2
90,,2020,2
91,,2020,2
92,,2020,2
93,,2020,2
94,,2020,2
95,,2020,2
96,,2020,2
97,,2020,2
98,,2020,2
99,,2020,2
100,,2020,2
101,,2020,2
0,,2020,3
1,,2020,3
2,,2020,3
3,,2020,3
4,,2020,3
5,,2020,3
6,,2020,3
7,,2020,3
8,,2020,3
9,,2020,3
10,,2020,3
11,,2020,3
12,,2020,3
13,,2020,3
14,90.0,2020,3
15,,2020,3
16,466.5,2020,3
17,389.1666666666667,2020,3
18,624.8857142857142,2020,3
19,676.3103448275862,2020,3
20,744.1355932203389,2020,3
21,999.7236842105264,2020,3
22,876.746835443038,2020,3
