Horas_Semanais,Renda_Total,Ano,Trimestre
50.0,329043.0,2020,2
51.0,1900.0,2020,2
52.0,26698.0,2020,2
53.0,5400.0,2020,2
54.0,14815.0,2020,2
55.0,44169.0,2020,2
56.0,34190.0,2020,2
57.0,700.0,2020,2
58.0,12500.0,2020,2
60.0,159124.0,2020,2
63.0,1045.0,2020,2
64.0,12800.0,2020,2
65.0,1500.0,2020,2
66.0,6710.0,2020,2
67.0,1800.0,2020,2
68.0,10000.0,2020,2
70.0,38745.0,2020,2
72.0,8445.0,2020,2
77.0,400.0,2020,2
78.0,2000.0,2020,2
80.0,11800.0,2020,2
84.0,14045.0,2020,2
96.0,850.0,2020,2
98.0,21000.0,2020,2
105.0,400.0,2020,2
108.0,1200.0,2020,2
112.0,2500.0,2020,2
120.0,2500.0,2020,2
1.0,1600.0,2020,3
2.0,760.0,2020,3
3.0,2800.0,2020,3
4.0,5170.0,2020,3
5.0,5245.0,2020,3
6.0,4200.0,2020,3
7.0,635.0,2020,3
8.0,15907.0,2020,3
9.0,300.0,2020,3
10.0,37500.0,2020,3
11.0,240.0,2020,3
12.0,13220.0,2020,3
13.0,480.0,2020,3
14.0,2095.0,2020,3
15.0,31285.0,2020,3
16.0,18456.0,2020,3
18.0,5645.0,2020,3
19.0,200.0,2020,3
20.0,239939.0,2020,3
21.0,3100.0,2020,3
22.0,13545.0,2020,3
23.0,11500.0,2020,3
24.0,87279.0,2020,3
25.0,45613.0,2020,3
26.0,1601.0,2020,3
27.0,1500.0,2020,3
28.0,7050.0,2020,3
29.0,1000.0,2020,3
30.0,655032.0,2020,3
32.0,15238.0,2020,3
33.0,3600.0,2020,3
34.0,2650.0,2020,3
35.0,95478.0,2020,3
36.0,160510.0,2020,3
37.0,1996.0,2020,3
38.0,4990.0,2020,3
40.0,2754897.0,2020,3
42.0,22552.0,2020,3
43.0,2845.0,2020,3
44.0,1345093.0,2020,3
45.0,25021.0,2020,3
46.0,28908.0,2020,3
47.0,1650.0,2020,3
48.0,695362.0,2020,3
49.0,3240.0,2020,3
50.0,292445.0,2020,3
51.0,2445.0,2020,3
52.0,17848.0,2020,3
54.0,8550.0,2020,3
55.0,30340.0,2020,3
56.0,41635.0,2020,3
57.0,700.0,2020,3
58.0,12500.0,2020,3
60.0,233804.0,2020,3
61.0,200.0,2020,3
64.0,13845.0,2020,3
66.0,9445.0,2020,3
67.0,1800.0,2020,3
70.0,22165.0,2020,3
72.0,18790.0,2020,3
74.0,120.0,2020,3
77.0,1000.0,2020,3
78.0,2000.0,2020,3
80.0,6000.0,2020,3
82.0,800.0,2020,3
84.0,10645.0,2020,3
96.0,850.0,2020,3
98.0,15000.0,2020,3
100.0,800.0,2020,3
108.0,14630.0,2020,3
120.0,30000.0,2020,3
